#,Name,Country,Latitude,Longitude,Other Language Names
1,Andaman and Nicobar Islands,India,10.2188344,92.5771329,"""name""=>""Andaman and Nicobar Islands"", ""name:da""=>""Andamanerne og Nicobarerne"", ""name:de""=>""Andamanen und Nikobaren"", ""name:eo""=>""Andamanoj kaj Nikobaroj"", ""name:et""=>""Andamanid ja Nicobarid"", ""name:fr""=>""Îles Andaman-et-Nicobar"", ""name:he""=>""??? ????? ???????"", ""name:hi""=>""??????? ?? ??????? ?????????"", ""name:hu""=>""Andamán- és Nikobár-szigetek"", ""name:it""=>""Andamane e Nicobare"", ""name:ja""=>""????????????"", ""name:kn""=>""??????? ????? ???????"", ""name:ms""=>""Kepulauan Andaman dan Nicobar"", ""name:nl""=>""Andamanen en Nicobaren"", ""name:ru""=>""??????????? ? ??????????? ???????"", ""name:uk""=>""??????????? ? ??????????? ???????"", ""name:vi""=>""Qu?n ??o Andaman và Nicobar"", ""name:zh""=>""???-?????"", ""official_name""=>""Union Territory of Andaman and Nicobar Islands"""
2,Andhra Pradesh,India,15.9240905,80.1863809,"""ref""=>""AP"", ""name""=>""Andhra Pradesh"", ""name:cs""=>""Ándhrapradéš"", ""name:en""=>""Andhra Pradesh"", ""name:eo""=>""Andra-Prade?o"", ""name:he""=>""????? ????"", ""name:hi""=>""?????? ??????"", ""name:hu""=>""Ándhra Prades"", ""name:ja""=>""??????????????"", ""name:kn""=>""????? ??????"", ""name:ru""=>""??????-??????"", ""name:ta""=>""???????? ????????"", ""name:te""=>""????? ???????"", ""name:uk""=>""??????-??????"", ""name:ur""=>""?????? ?????"""
3,Arunachal Pradesh,India,28.0937702,94.5921326,"""ref""=>""AR"", ""name""=>""Arunachal Pradesh"", ""name:am""=>""????? ????"", ""name:ar""=>""??????? ?????"", ""name:as""=>""??????? ??????"", ""name:be""=>""????????-??????"", ""name:bg""=>""???????? ??????"", ""name:bh""=>""??????? ??????"", ""name:bn""=>""??????? ??????"", ""name:bo""=>""???????????????????"", ""name:ce""=>""????????-??????"", ""name:cs""=>""Aruná?alpradéš"", ""name:dv""=>""?????????? ????????"", ""name:el""=>""?????????? ???????"", ""name:en""=>""Arunachal Pradesh"", ""name:eo""=>""Aruna?al-Prade?o"", ""name:fa""=>""???????? ?????"", ""name:gu""=>""??????? ??????"", ""name:he""=>""??????'? ????"", ""name:hi""=>""??????? ??????"", ""name:hu""=>""Arunácsal Prades"", ""name:hy""=>""????????? ??????"", ""name:ja""=>""???????????????"", ""name:ka""=>""????????-???????"", ""name:kn""=>""??????? ??????"", ""name:ko""=>""???????? ?"", ""name:ks""=>""??????? ?????"", ""name:la""=>""Arunacala Pradesa"", ""name:lt""=>""Aruna?al Pradešas"", ""name:lv""=>""Arun??ala Prad?ša"", ""name:mk""=>""???????? ??????"", ""name:ml""=>""??????? ???????"", ""name:mn""=>""??????????????"", ""name:mr""=>""??????? ??????"", ""name:ne""=>""??????? ??????"", ""name:or""=>""??????? ??????"", ""name:pa""=>""??????? ???????"", ""name:ps""=>""??????? ?????"", ""name:ru""=>""????????-??????"", ""name:sa""=>""????????????????????"", ""name:sk""=>""Aruná?alpradéš"", ""name:sq""=>""Arunaçal Pradesh"", ""name:sr""=>""???????? ??????"", ""name:ta""=>""????????? ????????"", ""name:te""=>""???????? ???????"", ""name:tg""=>""???????? ??????"", ""name:th""=>""?????????????????"", ""name:tr""=>""Arunaçal Prade?"", ""name:uk""=>""????????-??????"", ""name:ur""=>""??????? ?????"", ""name:uz""=>""Arunachal-Pradesh"", ""name:yi""=>""????????? ??????"", ""name:zh""=>""????????????"", ""name:lzh""=>""????"", ""name:zh-Hans""=>""????"", ""name:zh-Hant""=>""????"""
4,Assam,India,26.4073841,93.2551303,"""ref""=>""AS"", ""name""=>""Assam"", ""name:am""=>""???"", ""name:an""=>""Asam"", ""name:ar""=>""????"", ""name:as""=>""???"", ""name:be""=>""????"", ""name:bg""=>""????"", ""name:bh""=>""????"", ""name:bn""=>""????"", ""name:bo""=>""??????"", ""name:br""=>""Asam"", ""name:ce""=>""?????"", ""name:cs""=>""Ásám"", ""name:cv""=>""????"", ""name:dv""=>""??????"", ""name:el""=>""?????"", ""name:en""=>""Assam"", ""name:eo""=>""Asamo"", ""name:fa""=>""????"", ""name:gu""=>""????"", ""name:he""=>""????"", ""name:hi""=>""???"", ""name:hu""=>""Asszám"", ""name:hy""=>""?????"", ""name:ja""=>""?????"", ""name:ka""=>""?????? ?????"", ""name:kk""=>""?????"", ""name:kn""=>""??????"", ""name:ko""=>""?? ?"", ""name:ks""=>""????"", ""name:la""=>""Asama"", ""name:lt""=>""Asamas"", ""name:lv""=>""Asama"", ""name:mk""=>""????"", ""name:ml""=>""????"", ""name:mn""=>""?????"", ""name:mr""=>""????"", ""name:my""=>""???????????"", ""name:ne""=>""????"", ""name:or""=>""????"", ""name:pa""=>""????"", ""name:pi""=>""????????"", ""name:pl""=>""Asam"", ""name:ps""=>""????"", ""name:ru""=>""?????"", ""name:sa""=>""??????????"", ""name:sd""=>""????"", ""name:sk""=>""Ásam"", ""name:sr""=>""????"", ""name:ta""=>""?????"", ""name:te""=>""????"", ""name:tg""=>""?????"", ""name:th""=>""?????????"", ""name:uk""=>""?????"", ""name:ur""=>""????"", ""name:uz""=>""Accom"", ""name:yi""=>""????"", ""name:zh""=>""????"""
5,Bihar,India,25.6440845,85.906508,"""ref""=>""BR"", ""name""=>""Bihar"", ""name:cs""=>""Bihár"", ""name:en""=>""Bihar"", ""name:eo""=>""Biharo"", ""name:he""=>""????"", ""name:hi""=>""?????"", ""name:hu""=>""Bihár"", ""name:ja""=>""????"", ""name:kn""=>""?????"", ""name:ru""=>""?????"", ""name:uk""=>""?????"""
6,Chhattisgarh,India,21.6637359,81.8406351,"""ref""=>""CT"", ""name""=>""Chhattisgarh"", ""name:cs""=>""?hattísgarh"", ""name:en""=>""Chhattisgarh"", ""name:eo""=>""?atisgaro"", ""name:he""=>""?'???????"", ""name:hi""=>""?????????"", ""name:hu""=>""Cshattíszgarh"", ""name:ja""=>""?????????"", ""name:kn""=>""????????"", ""name:ru""=>""???????????"", ""name:uk""=>""???????????"""
7,Delhi,India,28.6273928,77.1716954,"""name""=>""Delhi"", ""name:ar""=>""????"", ""name:cs""=>""Dillí"", ""name:de""=>""Nationales Hauptstadtterritorium Delhi"", ""name:en""=>""Delhi"", ""name:eo""=>""Delhio"", ""name:hi""=>""??????"", ""name:hu""=>""Delhi"", ""name:ja""=>""???"", ""name:kn""=>""?????"", ""name:ko""=>""??"", ""name:ru""=>""????"", ""name:ta""=>""??????"", ""name:uk""=>""????"", ""name:ur""=>""????"", ""name:vi""=>""Delhi"", ""name:zh""=>""????????"", ""alt_name:vi""=>""Dilli"", ""official_name""=>""National Capital Territory of Delhi"", ""official_name:vi""=>""Lãnh th? Th? ?ô Qu?c gia Delhi"""
8,Goa,India,15.3004543,74.0855134,"""ref""=>""GA"", ""name""=>""Goa"", ""name:cs""=>""Goa"", ""name:en""=>""Goa"", ""name:eo""=>""Goao"", ""name:hi""=>""????"", ""name:hu""=>""Goa"", ""name:ja""=>""??"", ""name:kn""=>""???"", ""name:mr""=>""???"", ""name:ru""=>""???"", ""name:uk""=>""???"", ""name:kok""=>""????"""
9,Gujarat,India,22.3850051,71.745261,"""ref""=>""GJ"", ""name""=>""Gujarat"", ""name:ar""=>""?????"", ""name:en""=>""Gujarat"", ""name:fa""=>""?????"", ""name:gu""=>""??????"", ""name:he""=>""???'???"", ""name:hi""=>""??????"", ""name:kn""=>""???????"", ""name:ml""=>""??????????"", ""name:mr""=>""??????"", ""name:ru""=>""????????"", ""name:ta""=>""?????????"", ""name:te""=>""???????"", ""name:ur""=>""?????"", ""name:zh""=>""?????"""
10,Haryana,India,29,76,"""name""=>""Hary?na"", ""name:ar""=>""???????"", ""name:cs""=>""Harijána"", ""name:en""=>""Haryana"", ""name:eo""=>""Harjano"", ""name:he""=>""??????"", ""name:hi""=>""???????"", ""name:hu""=>""Harijána"", ""name:ja""=>""??????"", ""name:kn""=>""???????"", ""name:ru""=>""???????"", ""name:sl""=>""Harjana"", ""name:uk""=>""???'???"", ""name:ur""=>""??????"", ""official_name""=>""State of Hary?na"""
